Author,Note,Title,Type,Source/DOI
Hoeser 2020,Section 3.1.1 An overview of the vintage architectures,Object Detection and Image Segmentation with Deep Learning on Earth Observation Data: A Review-Part I: Evolution and Recent Trends ,paper,10.3390/rs12101667
Shafkat 2018,Convolutional operations,Intuitively Understanding Convolutions for Deep Learning,medium,https://towardsdatascience.com/intuitively-understanding-convolutions-for-deep-learning-1f6f42faee1
Ganesh 2019,Convolutional operations,Types of Convolution Kernels : Simplified,medium,https://towardsdatascience.com/types-of-convolution-kernels-simplified-f040cb307c37
Krizhevsky 2012,Introduction to AlexNet,ImageNet Classification with Deep Convolutional Neural Networks,paper,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf
Zeiler 2014,Introduction to ZFNet,Visualizing and Understanding Convolutional Networks,paper,https://link.springer.com/content/pdf/10.1007%2F978-3-319-10590-1_53.pdf
Tsang 2018,Review of ZFNet,Review: ZFNet — Winner of ILSVRC 2013 (Image Classification),medium,https://medium.com/coinmonks/paper-review-of-zfnet-the-winner-of-ilsvlc-2013-image-classification-d1a5a0c45103
Simonyan 2014,Introduction to VGG nets,Very Deep Convolutional Networks for Large-Scale Image Recognition,paper,https://arxiv.org/abs/1409.1556
Wei 2019,Explanation of VGG Net with an evolutionary perspective,VGG Neural Networks: The Next Step After AlexNet,medium,https://towardsdatascience.com/vgg-neural-networks-the-next-step-after-alexnet-3f91fa9ffe2c
