Author,Note,Title,Type,Source/DOI
Hoeser 2020,Section 3.2; Brief introduction to image segmentation,Object Detection and Image Segmentation with Deep Learning on Earth Observation Data: A Review-Part I: Evolution and Recent Trends ,paper,10.3390/rs12101667
Ouaknine 2018,An overview of image segmentation with deep learning until 2018,Review of Deep Learning Algorithms for Image Semantic Segmentation,medium,https://medium.com/@arthur_ouaknine/review-of-deep-learning-algorithms-for-image-semantic-segmentation-509a600f7b57
Gupta 2019,Introduction to image segmentation with hands on examples,A Beginner's guide to Deep Learning based Semantic Segmentation using Keras,medium,https://divamgupta.com/image-segmentation/2019/06/06/deep-learning-semantic-segmentation-keras.html
Long 2014,Initial paper introducing FCN for image segmentation,Fully Convolutional Networks for Semantic Segmentation,paper,https://arxiv.org/abs/1411.4038
Garcia-Garcia 2018,Thorough review of DL for image segmentation,A survey on deep learning techniques for image and video semantic segmentation,paper,10.1016/j.asoc.2018.05.018
Minaee 2020,Thorough review of DL for image segmentation,Image Segmentation Using Deep Learning: A Survey,paper,https://arxiv.org/abs/2001.05566
